latency_ns,count
14204,1
14352,1
14445,1
15778,1
15870,1
15945,1
16019,1
16056,1
16574,1
16666,1
17148,1
17167,1
17204,1
17352,1
17407,1
17500,1
17556,1
17722,1
17981,1
17982,1
18001,1
18019,1
18760,1
18889,1
18907,1
18926,1
19075,1
19130,1
19149,1
19167,1
19241,1
19315,1
19537,1
19722,1
19963,1
19982,1
20296,1
20463,1
20593,1
20685,1
20741,1
20777,1
20852,1
21055,1
21166,1
21167,1
21185,1
21260,1
21278,1
21296,1
21315,1
21370,2
21426,1
21555,1
21575,1
21629,1
21685,1
22074,1
22111,1
22203,1
22222,1
22333,1
22574,1
22667,1
22871,1
22982,1
23167,1
23259,1
23408,1
23463,1
23500,2
23593,1
23741,1
23852,1
24592,1
25074,1
25444,1
25649,1
25722,1
25833,1
26056,1
26222,1
26519,1
26575,1
26889,1
26926,1
27185,1
27537,1
27704,1
27778,1
28296,1
28426,1
29148,1
29167,1
29185,1
29389,1
29778,1
30555,1
30611,1
31593,1
31815,1
32722,1
33167,1
33667,1
33926,1
34056,1
34167,1
34204,1
34944,1
35314,1
35407,1
35666,1
35722,1
37463,1
37760,1
37926,1
38000,1
38463,1
39667,1
40019,1
40297,1
41000,1
41204,1
42760,1
42834,1
42871,1
43426,1
43815,1
43926,1
46408,1
46833,1
47463,1
48315,1
48444,1
50815,1
51574,1
53593,1
53889,1
54001,1
54408,1
54593,1
54778,1
55000,1
56186,1
56353,1
56741,1
57500,1
59649,1
60334,1
61815,1
61945,1
62316,1
62334,1
69889,1
